Quantity,References,Populate,Value,Package,Manufacturer,MPN,Supplier,Supplier Part Number,Alternatives,Description,Datasheet,Configuration,Zener Paths
5,C1 C3 C4 C5 C6,Yes,100nF 50V X7R,0603,Murata,GCM188R71H104KA57J,,,,100nF 50V X7R,,Configured,ai_pendant_recorder.zen:<root>.C1.C | ai_pendant_recorder.zen:<root>.C3.C | ai_pendant_recorder.zen:<root>.C4.C | ai_pendant_recorder.zen:<root>.C5.C | ai_pendant_recorder.zen:<root>.C6.C
3,C2 C7 C8,Yes,10uF 25V X5R,0805,YAGEO,CC0805KRX5R8BB106,,,,10uF 25V X5R,,Configured,ai_pendant_recorder.zen:<root>.C2.C | ai_pendant_recorder.zen:<root>.C7.C | ai_pendant_recorder.zen:<root>.C8.C
1,D1,Yes,,NSVR0320,onsemi,NSVR0320MW2T1G,,,,,,Configured,ai_pendant_recorder.zen:<root>.D1.D
2,D2 D3,Yes,,APGF0607,Kingbright,APGF0607G32B33R23-05,,,,,,Configured,ai_pendant_recorder.zen:<root>.LED1.RGB | ai_pendant_recorder.zen:<root>.LED2.RGB
2,J1 J3,Yes,,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,"J.S.T. Mfg. Co., Ltd.",B2B-PH-K-S,DigiKey,455-1704-ND,,"JST PH series 2-position top-entry shrouded through-hole header, 2.00 mm pitch.",,Configured,ai_pendant_recorder.zen:<root>.J1.J_B2B_PH_K_S | ai_pendant_recorder.zen:<root>.J3.J_B2B_PH_K_S
1,J2,Yes,,BM02B,JST,BM02B-SRSS-TB(LF)(SN),DigiKey,455-1788-1-ND,,,,Configured,ai_pendant_recorder.zen:<root>.J2.J_BM02B_ATTRIBUTED
1,Q1,Yes,,SOT-23,Alpha & Omega Semiconductor,AO3400A,,,,Alpha & Omega Semiconductor AO3400A 30 V N-channel MOSFET in SOT-23,https://www.aosmd.com/res/datasheets/AO3400A.pdf,Configured,ai_pendant_recorder.zen:<root>.Q1.Q_AO3400A
4,R1 R2 R8 R15,Yes,100k 100mW,0603,YAGEO,RC0603FR-07100KL,DigiKey,311-100KHRCT-ND,,100k 100mW,,Configured,ai_pendant_recorder.zen:<root>.R1.R | ai_pendant_recorder.zen:<root>.R2.R | ai_pendant_recorder.zen:<root>.R8.R | ai_pendant_recorder.zen:<root>.R15.R
7,R3 R9 R10 R11 R12 R13 R14,Yes,2k 100mW,0603,YAGEO,RC0603FR-072KL,DigiKey,311-2.00KHRCT-ND,,2k 100mW,,Configured,ai_pendant_recorder.zen:<root>.R3.R | ai_pendant_recorder.zen:<root>.R9.R | ai_pendant_recorder.zen:<root>.R10.R | ai_pendant_recorder.zen:<root>.R11.R | ai_pendant_recorder.zen:<root>.R12.R | ai_pendant_recorder.zen:<root>.R13.R | ai_pendant_recorder.zen:<root>.R14.R
2,R4 R5,Yes,4.7k 100mW,0603,YAGEO,RC0603FR-074K7L,,,,4.7k 100mW,,Configured,ai_pendant_recorder.zen:<root>.R4.R | ai_pendant_recorder.zen:<root>.R5.R
1,R7,Yes,100 100mW,0603,YAGEO,RC0603FR-07100RL,,,,100 100mW,,Configured,ai_pendant_recorder.zen:<root>.R7.R
1,SW1,Yes,,PTS841GK,C&K,PTS841GKSMTR LFS,DigiKey,108-PTS841GKSMTRLFSCT-ND,,,,Configured,ai_pendant_recorder.zen:<root>.SW1.SW_PTS841
1,SW2,Yes,,SW_CK_JS202011AQN_DPDT_Angled,C&K,JS202011AQN,DigiKey,401-2000-ND,,"C&K JS202011AQN DPDT ON-ON slide switch, right-angle THT, 0.3 A at 6 VDC",https://www.ckswitches.com/media/1422/js.pdf,Configured,ai_pendant_recorder.zen:<root>.SW2.SW_JS202011AQN
1,U1,Yes,,XIAO-ESP32-S3-SMD,Seeed Studio,113991115,DigiKey,1597-113991115-ND,,"Seeed Studio XIAO ESP32S3 Sense, SKU 113991115, with microphone and microSD expansion board",https://wiki.seeedstudio.com/xiao_esp32s3_getting_started/,Configured,ai_pendant_recorder.zen:<root>.U1.U_XIAO_ESP32S3_SENSE
1,U2,Yes,,kicad_footprint,Analog Devices,MAX98357AETE+T,,,,Analog Devices MAX98357AETE+T I2S mono Class-D amplifier,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX98357A-MAX98357B.pdf,Configured,ai_pendant_recorder.zen:<root>.U2.MAX98357AETE_T
1,U3,Yes,,kicad_footprint,Analog Devices,MAX17048G+T10,,,,"Analog Devices/Maxim MAX17048G+T10 1-cell Li+ ModelGauge fuel gauge, 8-TDFN-EP",https://www.analog.com/media/en/technical-documentation/data-sheets/max17048-max17049.pdf,Configured,ai_pendant_recorder.zen:<root>.U3.FG
1,U4,Yes,,BMI270,Bosch Sensortec,BMI270,,,,,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi270-ds000.pdf,Configured,ai_pendant_recorder.zen:<root>.U4.IMU
1,U5,Yes,,TSSOP-28_4.4x9.7mm_P0.65mm,NXP,"PCA9685PW,118",,,,,,Configured,ai_pendant_recorder.zen:<root>.U5.PWM
1,U6,Yes,,AP2112K_3V3,Diodes Incorporated,AP2112K-3.3TRG1,,,,,,Configured,ai_pendant_recorder.zen:<root>.U6.LDO
