Quantity,References,Populate,Value,Package,Mount,Manufacturer,MPN,Supplier,Supplier Part Number,Alternatives,Description,Datasheet,Configuration,Zener Paths,Source URL,Currency,Unit Price,Extended Price,Stock,Availability,Sourcing Updated
6,C1 C3 C4 C5 C9 C10,Yes,100nF 50V X7R,0603,,Murata,GCM188R71H104KA57J,,,,100nF 50V X7R,,Configured,ai_pendant_recorder.zen:<root>.C1.C | ai_pendant_recorder.zen:<root>.C3.C | ai_pendant_recorder.zen:<root>.C4.C | ai_pendant_recorder.zen:<root>.C5.C | ai_pendant_recorder.zen:<root>.C9.C | ai_pendant_recorder.zen:<root>.C10.C,,,,,,,
5,C2 C7 C8 C11 C12,Yes,10uF 25V X5R,0805,,YAGEO,CC0805KRX5R8BB106,,,,10uF 25V X5R,,Configured,ai_pendant_recorder.zen:<root>.C2.C | ai_pendant_recorder.zen:<root>.C7.C | ai_pendant_recorder.zen:<root>.C8.C | ai_pendant_recorder.zen:<root>.C11.C | ai_pendant_recorder.zen:<root>.C12.C,,,,,,,
2,C13 C14,Yes,22uF 10V X5R,0805,,Murata,GRM21BR61A226ME44L,,,,22uF 10V X5R,,Configured,ai_pendant_recorder.zen:<root>.C13.C | ai_pendant_recorder.zen:<root>.C14.C,,,,,,,
25,C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34 C35 C36 C37 C38 C39,Yes,100nF 16V X7R,0402,,Murata,GRM155R71C104KA88D,,,,100nF 16V X7R,,Configured,ai_pendant_recorder.zen:<root>.C15.C | ai_pendant_recorder.zen:<root>.C16.C | ai_pendant_recorder.zen:<root>.C17.C | ai_pendant_recorder.zen:<root>.C18.C | ai_pendant_recorder.zen:<root>.C19.C | ai_pendant_recorder.zen:<root>.C20.C | ai_pendant_recorder.zen:<root>.C21.C | ai_pendant_recorder.zen:<root>.C22.C | ai_pendant_recorder.zen:<root>.C23.C | ai_pendant_recorder.zen:<root>.C24.C | ai_pendant_recorder.zen:<root>.C25.C | ai_pendant_recorder.zen:<root>.C26.C | ai_pendant_recorder.zen:<root>.C27.C | ai_pendant_recorder.zen:<root>.C28.C | ai_pendant_recorder.zen:<root>.C29.C | ai_pendant_recorder.zen:<root>.C30.C | ai_pendant_recorder.zen:<root>.C31.C | ai_pendant_recorder.zen:<root>.C32.C | ai_pendant_recorder.zen:<root>.C33.C | ai_pendant_recorder.zen:<root>.C34.C | ai_pendant_recorder.zen:<root>.C35.C | ai_pendant_recorder.zen:<root>.C36.C | ai_pendant_recorder.zen:<root>.C37.C | ai_pendant_recorder.zen:<root>.C38.C | ai_pendant_recorder.zen:<root>.C39.C,,,,,,,
1,C40,Yes,1nF 25V C0G,0402,,Murata,GRM1555C1E102JA01D,,,,1nF 25V C0G,,Configured,ai_pendant_recorder.zen:<root>.C40.C,,,,,,,
1,D1,Yes,,NSVR0320,,onsemi,NSVR0320MW2T1G,,,,,,Configured,ai_pendant_recorder.zen:<root>.D1.D,,,,,,,
2,J1 J3,Yes,,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,"J.S.T. Mfg. Co., Ltd.",B2B-PH-K-S,DigiKey,455-1704-ND,,"JST PH series 2-position top-entry shrouded through-hole header, 2.00 mm pitch.",,Configured,ai_pendant_recorder.zen:<root>.J1.J_B2B_PH_K_S | ai_pendant_recorder.zen:<root>.J3.J_B2B_PH_K_S,,,,,,,
1,J4,Yes,,Molex_104031-0811,,Molex,104031-0811,,,,Active 1.42 mm push-pull microSD socket; front entry; normally-open card detect,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/104/104031/1040310811_sd.pdf,Configured,ai_pendant_recorder.zen:<root>.J4.SD,,,,,,,
1,L1,Yes,,XEL4030_102MEC,,Coilcraft,XEL4030-102MEC,,,,"1 uH +/-20%, 9 A Isat, 9.78 mOhm max DCR shielded inductor",https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,Configured,ai_pendant_recorder.zen:<root>.L1.L,,,,,,,
25,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16 LED17 LED18 LED19 LED20 LED21 LED22 LED23 LED24 LED25,Yes,,WS2812C_2020_V1,,Worldsemi,WS2812C-2020-V1,,,,"2.0 mm addressable RGB LED, 5 mA/channel, 3.7-5.3 V, LCSC C2976072",https://datasheet.lcsc.com/datasheet/pdf/09f4c697250f44092a00c11d7628f2c6.pdf?productCode=C2976072,Configured,ai_pendant_recorder.zen:<root>.LED1.RGB | ai_pendant_recorder.zen:<root>.LED2.RGB | ai_pendant_recorder.zen:<root>.LED3.RGB | ai_pendant_recorder.zen:<root>.LED4.RGB | ai_pendant_recorder.zen:<root>.LED5.RGB | ai_pendant_recorder.zen:<root>.LED6.RGB | ai_pendant_recorder.zen:<root>.LED7.RGB | ai_pendant_recorder.zen:<root>.LED8.RGB | ai_pendant_recorder.zen:<root>.LED9.RGB | ai_pendant_recorder.zen:<root>.LED10.RGB | ai_pendant_recorder.zen:<root>.LED11.RGB | ai_pendant_recorder.zen:<root>.LED12.RGB | ai_pendant_recorder.zen:<root>.LED13.RGB | ai_pendant_recorder.zen:<root>.LED14.RGB | ai_pendant_recorder.zen:<root>.LED15.RGB | ai_pendant_recorder.zen:<root>.LED16.RGB | ai_pendant_recorder.zen:<root>.LED17.RGB | ai_pendant_recorder.zen:<root>.LED18.RGB | ai_pendant_recorder.zen:<root>.LED19.RGB | ai_pendant_recorder.zen:<root>.LED20.RGB | ai_pendant_recorder.zen:<root>.LED21.RGB | ai_pendant_recorder.zen:<root>.LED22.RGB | ai_pendant_recorder.zen:<root>.LED23.RGB | ai_pendant_recorder.zen:<root>.LED24.RGB | ai_pendant_recorder.zen:<root>.LED25.RGB,,,,,,,
1,MK1,Yes,,IM69D130,,Infineon,IM69D130V01XTSA1,,,,Bottom-port PDM microphone; SELECT low; place 100nF at VDD and provide PCB acoustic opening,https://www.infineon.com/row/public/documents/24/49/infineon-im69d130-datasheet-en.pdf,Configured,ai_pendant_recorder.zen:<root>.MK1.MIC,,,,,,,
1,Q1,Yes,,SOT-23,,Alpha & Omega Semiconductor,AO3400A,,,,Alpha & Omega Semiconductor AO3400A 30 V N-channel MOSFET in SOT-23,https://www.aosmd.com/res/datasheets/AO3400A.pdf,Configured,ai_pendant_recorder.zen:<root>.Q1.Q_AO3400A,,,,,,,
5,R1 R8 R23 R26 R27,Yes,100k 100mW,0603,,YAGEO,RC0603FR-07100KL,DigiKey,311-100KHRCT-ND,,100k 100mW,,Configured,ai_pendant_recorder.zen:<root>.R1.R | ai_pendant_recorder.zen:<root>.R8.R | ai_pendant_recorder.zen:<root>.R23.R | ai_pendant_recorder.zen:<root>.R26.R | ai_pendant_recorder.zen:<root>.R27.R,,,,,,,
2,R4 R5,Yes,4.7k 100mW,0603,,YAGEO,RC0603FR-074K7L,,,,4.7k 100mW,,Configured,ai_pendant_recorder.zen:<root>.R4.R | ai_pendant_recorder.zen:<root>.R5.R,,,,,,,
1,R7,Yes,100 100mW,0603,,YAGEO,RC0603FR-07100RL,,,,100 100mW,,Configured,ai_pendant_recorder.zen:<root>.R7.R,,,,,,,
2,R16 R17,Yes,33 100mW,0603,,YAGEO,RC0603FR-0733RL,,,,33 100mW,,Configured,ai_pendant_recorder.zen:<root>.R16.R | ai_pendant_recorder.zen:<root>.R17.R,,,,,,,
5,R18 R19 R20 R21 R22,Yes,47k 100mW,0603,,YAGEO,RC0603FR-0747KL,,,,47k 100mW,,Configured,ai_pendant_recorder.zen:<root>.R18.R | ai_pendant_recorder.zen:<root>.R19.R | ai_pendant_recorder.zen:<root>.R20.R | ai_pendant_recorder.zen:<root>.R21.R | ai_pendant_recorder.zen:<root>.R22.R,,,,,,,
1,R25,Yes,732k 100mW,0603,,YAGEO,RC0603FR-07732KL,,,,732k 100mW,,Configured,ai_pendant_recorder.zen:<root>.R25.R,,,,,,,
1,R28,Yes,470 100mW,0603,,YAGEO,RC0603FR-07470RL,,,,470 100mW,,Configured,ai_pendant_recorder.zen:<root>.R28.R,,,,,,,
1,SW1,Yes,,PTS841GK,,C&K,PTS841GKSMTR LFS,DigiKey,108-PTS841GKSMTRLFSCT-ND,,,,Configured,ai_pendant_recorder.zen:<root>.SW1.SW_PTS841,,,,,,,
1,SW2,Yes,,SW_CK_JS202011AQN_DPDT_Angled,,C&K,JS202011AQN,DigiKey,401-2000-ND,,"C&K JS202011AQN DPDT ON-ON slide switch, right-angle THT, 0.3 A at 6 VDC",https://www.ckswitches.com/media/1422/js.pdf,Configured,ai_pendant_recorder.zen:<root>.SW2.SW_JS202011AQN,,,,,,,
1,U1,Yes,,XIAO,,Seeed Studio,113991114,,,,"Base XIAO ESP32S3, no Sense expansion, direct-solder SMD",https://wiki.seeedstudio.com/xiao_esp32s3_getting_started/,Configured,ai_pendant_recorder.zen:<root>.U1.XIAO,,,,,,,
1,U3,Yes,,kicad_footprint,,Analog Devices,MAX17048G+T10,,,,"Analog Devices/Maxim MAX17048G+T10 1-cell Li+ ModelGauge fuel gauge, 8-TDFN-EP",https://www.analog.com/media/en/technical-documentation/data-sheets/max17048-max17049.pdf,Configured,ai_pendant_recorder.zen:<root>.U3.FG,,,,,,,
1,U4,Yes,,BMI270,,Bosch Sensortec,BMI270,,,,,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi270-ds000.pdf,Configured,ai_pendant_recorder.zen:<root>.U4.IMU,,,,,,,
1,U5,Yes,,DRL0006A SOT-563,,Texas Instruments,TPS61023DRLR,,,,"TI TPS61023DRLR 0.5 V to 5.5 V, 3.7 A synchronous boost converter",https://www.ti.com/lit/ds/symlink/tps61023.pdf,Configured,ai_pendant_recorder.zen:<root>.U5.U_TPS61023,,,,,,,
